判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
1806,-1.45,-0.23,23.22,7.62,0,1806
4916,3.93,1.53,20.8,5.45,1,4916
1463,9.71,1.33,28.09,8.09,1,1463
3041,-9.71,-1.52,30.64,8.2,0,3041
1532,8.01,2.47,25.18,5.63,1,1532
2527,7.3,2.45,37.7,7.56,1,2527
1338,6.78,5.62,24.05,6.63,1,1338
1432,-16.24,-1.41,73.41,6.3,0,1432
4942,8.64,4.39,22.1,6.31,1,4942
1540,3.83,0.64,22.37,5.1,1,1540
2545,9.43,3.22,38.8,7.04,1,2545
1316,4.27,0.66,23.2,5.41,1,1316
3376,8.93,6.63,23.49,5.05,1,3376
4943,-10.08,-0.59,27.79,16.12,0,4943
9912,-4.54,-0.44,32.47,18.33,0,9912
8039,9.69,3.4,21.95,6.07,1,8039
8473,5.82,2.13,22.43,6.17,1,8473
4562,-1.65,-0.15,30.95,7.84,0,4562
2536,4.09,1.45,27.4,6.03,1,2536
4564,9.51,2.19,28.8,6.0,1,4564
2501,7.55,1.51,23.74,7.0,1,2501
3501,8.78,4.27,25.36,6.35,1,3501
6168,6.95,0.97,21.75,5.91,1,6168
1102,9.81,4.05,24.67,6.29,1,1102
2393,6.94,2.71,24.6,6.16,1,2393
2911,-5.97,-0.65,44.02,11.47,0,2911
5907,2.15,1.17,73.87,9.66,1,5907
2340,8.63,1.58,30.33,5.08,1,2340
3048,15.45,2.43,3.05,5.68,1,3048
8131,12.35,3.18,18.72,6.27,1,8131
2546,17.79,4.66,7.57,5.67,1,2546
8112,21.82,4.49,2.85,8.58,1,8112
2597,16.21,5.98,14.19,6.09,1,2597
4722,11.73,2.95,17.6,5.11,1,4722
6281,19.94,5.0,18.97,5.35,1,6281
8271,14.07,3.8,15.6,6.35,1,8271
3231,12.27,2.5,4.84,6.69,1,3231
1541,17.38,3.1,16.15,6.33,1,1541
5546,23.42,6.32,16.56,5.48,1,5546
2347,17.49,5.39,4.09,5.39,1,2347
1521,15.18,3.73,15.33,8.48,1,1521
2459,10.77,4.32,16.86,6.11,1,2459
8213,11.46,5.43,14.63,8.02,1,8213
2535,11.13,2.84,10.93,6.02,1,2535
2382,14.37,5.42,5.15,5.63,1,2382
2357,10.76,27.74,16.39,9.0,1,2357
1301,13.01,7.15,18.26,6.0,1,1301
6504,19.76,8.9,19.92,6.54,1,6504
6691,28.63,15.07,15.6,5.98,1,6691
1515,23.75,4.2,18.65,7.6,1,1515
2020,14.27,2.01,11.5,7.16,1,2020
2385,19.26,7.22,17.11,6.3,1,2385
2376,17.5,7.88,18.11,6.08,1,2376
3029,13.96,2.86,10.17,5.42,1,3029
2069,11.0,2.5,8.01,6.42,1,2069
6412,21.64,4.84,16.73,5.02,1,6412
2227,27.83,19.59,15.16,8.65,1,2227
3044,16.29,10.4,19.32,6.62,1,3044
1303,12.88,5.98,16.11,6.61,1,1303
2609,24.39,9.84,18.03,6.27,1,2609
3702,13.8,4.71,4.07,5.39,1,3702
3033,12.77,2.19,5.99,5.53,1,3033
2031,14.71,3.67,11.13,5.26,1,2031
6189,14.37,2.96,8.02,6.8,1,6189
6112,13.2,2.84,10.79,6.47,1,6112
2015,15.22,4.91,13.62,5.79,1,2015
1312,13.74,4.03,16.97,5.31,1,1312
2439,19.07,10.74,13.85,9.2,1,2439
9927,11.48,2.93,10.18,7.61,1,9927
3528,13.73,3.16,12.42,5.49,1,3528
3032,11.6,3.04,16.76,7.76,1,3032
6456,19.07,13.45,9.44,6.36,1,6456
3645,11.14,2.29,32.73,3.29,1,3645
2496,12.49,5.46,47.5,8.46,1,2496
2114,21.09,7.26,38.13,4.86,1,2114
4755,13.06,4.65,20.74,2.23,1,4755
1590,20.7,21.36,49.0,1.02,1,1590
1323,14.85,3.1,24.13,4.73,1,1323
2458,31.76,8.82,46.63,8.15,1,2458
4536,14.47,8.16,30.88,2.92,1,4536
6671,13.09,3.61,37.98,7.44,1,6671
1229,10.09,2.66,20.74,3.05,1,1229
1436,11.33,3.41,28.63,4.65,1,1436
1762,12.28,3.53,40.69,1.83,1,1762
6269,14.3,9.09,20.44,5.27,1,6269
3583,14.02,4.45,36.77,2.8,1,3583
6666,23.82,6.51,62.94,5.14,1,6666
8114,16.93,6.1,34.67,2.96,1,8114
3406,16.98,18.52,41.07,1.55,1,3406
1216,19.92,4.14,33.73,4.75,1,1216
1325,17.53,5.61,27.85,11.43,1,1325
6582,28.1,12.43,36.78,11.64,1,6582
3338,11.82,2.08,20.95,3.58,1,3338
5306,23.76,10.43,43.51,2.26,1,5306
3665,16.11,13.46,23.75,2.69,1,3665
3705,10.85,2.62,45.26,4.93,1,3705
